
VD= 5 to 10 in 0.01 step
VG= 5 to 10 in 1 step
NO. VD ID ISUB
 V A A
425 9.24 -2.6829E-09 1.7264E-08
426 9.25 -3.9862E-09 1.755E-08
427 9.26 -5.1198E-09 1.6321E-08
428 9.27 -6.0531E-09 1.703E-08
429 9.28 -3.4489E-09 1.7954E-08
430 9.29 -4.662E-09 1.6851E-08
431 9.3 -5.6872E-09 1.687E-08
432 9.31 -2.8945E-09 1.7476E-08
433 9.32 -4.1648E-09 1.715E-08
434 9.33 -5.2753E-09 1.6072E-08
435 9.34 -6.1843E-09 1.7047E-08
436 9.35 -3.656E-09 1.7963E-08
437 9.36 -4.8429E-09 1.668E-08
438 9.37 -5.847E-09 1.6934E-08
439 9.38 -3.1173E-09 1.7779E-08
440 9.39 -4.3654E-09 1.7231E-08
441 9.4 -5.4442E-09 1.6779E-08
442 9.41 -2.5533E-09 1.7195E-08
443 9.42 -3.8539E-09 1.7812E-08
444 9.43 -5.0075E-09 1.6503E-08
445 9.44 -5.9708E-09 1.7019E-08
446 9.45 -3.306E-09 1.7869E-08
447 9.46 -4.5469E-09 1.7041E-08
448 9.47 -5.5926E-09 1.6847E-08
449 9.48 -2.7561E-09 1.7346E-08
450 9.49 -4.0358E-09 1.7492E-08
451 9.5 -5.1608E-09 1.6559E-08
452 9.51 -2.175E-09 1.7042E-08
453 9.52 -3.5133E-09 1.7983E-08
454 9.53 -4.7022E-09 1.6831E-08
455 9.54 -5.7294E-09 1.6899E-08
456 9.55 -2.944E-09 1.7505E-08
457 9.56 -4.208E-09 1.7111E-08
458 9.57 -5.3162E-09 1.6692E-08
459 9.58 -2.3805E-09 1.7095E-08
460 9.59 -3.6901E-09 1.7953E-08
461 9.6 -4.8656E-09 1.6682E-08
462 9.61 -5.853E-09 1.686E-08
463 9.62 -3.1215E-09 1.7769E-08
464 9.63 -4.369E-09 1.727E-08
465 9.64 -5.4517E-09 1.676E-08
466 9.65 -2.5522E-09 1.7228E-08
467 9.66 -3.852E-09 1.7838E-08
468 9.67 -5.0006E-09 1.6507E-08
469 9.68 -5.9612E-09 1.6947E-08
470 9.69 -3.2816E-09 1.7885E-08
471 9.7 -4.523E-09 1.6996E-08
472 9.71 -5.5692E-09 1.6791E-08
473 9.72 -2.7159E-09 1.7329E-08
474 9.73 -3.995E-09 1.7589E-08
475 9.74 -5.1265E-09 1.6311E-08
476 9.75 -6.062E-09 1.7046E-08
477 9.76 -3.4481E-09 1.8019E-08
478 9.77 -4.6516E-09 1.6912E-08
479 9.78 -5.6778E-09 1.6877E-08
480 9.79 -2.8503E-09 1.7435E-08
481 9.8 -4.1302E-09 1.7212E-08
482 9.81 -5.2404E-09 1.6622E-08
483 9.82 -2.2678E-09 1.7065E-08
484 9.83 -3.5777E-09 1.7981E-08
485 9.84 -4.7773E-09 1.6768E-08
486 9.85 -5.7824E-09 1.6913E-08
487 9.86 -3.008E-09 1.7611E-08
488 9.87 -4.2611E-09 1.7161E-08
489 9.88 -5.3474E-09 1.6691E-08
490 9.89 -2.4137E-09 1.7151E-08
491 9.9 -3.7163E-09 1.7879E-08
492 9.91 -4.895E-09 1.6677E-08
493 9.92 -5.8639E-09 1.6947E-08
494 9.93 -3.1443E-09 1.7728E-08
495 9.94 -4.3841E-09 1.722E-08
496 9.95 -5.4496E-09 1.6775E-08
497 9.96 -2.5457E-09 1.7217E-08
498 9.97 -3.8371E-09 1.7829E-08
499 9.98 -4.9903E-09 1.6518E-08
500 9.99 -5.9524E-09 1.6977E-08
501 10 -3.2564E-09 1.7909E-08
502 5 7.0101E-09 -1.666E-08
503 5.01 5.3686E-09 -1.666E-08
504 5.02 2.6802E-09 -1.7122E-08
505 5.03 3.8694E-09 -1.7041E-08
506 5.04 4.9271E-09 -1.6594E-08
507 5.05 2.1132E-09 -1.6762E-08
508 5.06 3.3221E-09 -1.7765E-08
509 5.07 4.4513E-09 -1.6482E-08
510 5.08 5.4348E-09 -1.669E-08
511 5.09 2.7695E-09 -1.7208E-08
512 5.1 3.9471E-09 -1.6864E-08
513 5.11 4.9934E-09 -1.6592E-08
514 5.12 2.1986E-09 -1.678E-08
515 5.13 3.4156E-09 -1.7717E-08
516 5.14 4.5293E-09 -1.6584E-08
517 5.15 1.6047E-09 -1.6655E-08
518 5.16 2.8232E-09 -1.7279E-08
519 5.17 4.0081E-09 -1.6804E-08
520 5.18 5.0467E-09 -1.6585E-08
521 5.19 2.2541E-09 -1.6864E-08
522 5.2 3.4618E-09 -1.771E-08
523 5.21 4.582E-09 -1.6616E-08
524 5.22 1.6626E-09 -1.6689E-08
525 5.23 2.8799E-09 -1.7375E-08
526 5.24 4.0594E-09 -1.6745E-08
527 5.25 5.0864E-09 -1.6592E-08
528 5.26 2.3135E-09 -1.6866E-08
529 5.27 3.5048E-09 -1.7648E-08
530 5.28 4.6085E-09 -1.6565E-08
531 5.29 1.709E-09 -1.67E-08
532 5.3 2.9347E-09 -1.7451E-08
533 5.31 4.096E-09 -1.6789E-08
534 5.32 5.118E-09 -1.6634E-08
535 5.33 2.3337E-09 -1.6897E-08
536 5.34 3.5392E-09 -1.7629E-08
537 5.35 4.6366E-09 -1.6365E-08
538 5.36 5.584E-09 -1.6663E-08
539 5.37 2.9647E-09 -1.7456E-08
540 5.38 4.1211E-09 -1.6783E-08
541 5.39 5.1377E-09 -1.661E-08
542 5.4 2.3756E-09 -1.6877E-08
543 5.41 3.5743E-09 -1.7619E-08
544 5.42 4.6685E-09 -1.6616E-08
545 5.43 1.7644E-09 -1.6694E-08
546 5.44 2.9845E-09 -1.7488E-08
547 5.45 4.1383E-09 -1.6853E-08
548 5.46 5.1541E-09 -1.662E-08
549 5.47 2.3791E-09 -1.6882E-08
550 5.48 3.5888E-09 -1.7627E-08
551 5.49 4.6669E-09 -1.6624E-08
552 5.5 1.7753E-09 -1.6684E-08
553 5.51 2.9938E-09 -1.7536E-08
554 5.52 4.1437E-09 -1.6876E-08
555 5.53 5.1565E-09 -1.662E-08
556 5.54 2.3799E-09 -1.6893E-08
557 5.55 3.5922E-09 -1.7552E-08
558 5.56 4.6664E-09 -1.6585E-08
559 5.57 1.7723E-09 -1.6726E-08
560 5.58 2.9882E-09 -1.7494E-08
561 5.59 4.1397E-09 -1.6829E-08
562 5.6 5.1597E-09 -1.6631E-08
563 5.61 2.3866E-09 -1.6949E-08
564 5.62 3.5816E-09 -1.76E-08
565 5.63 4.6675E-09 -1.6642E-08
566 5.64 1.7521E-09 -1.6707E-08
567 5.65 2.9729E-09 -1.7499E-08
568 5.66 4.1255E-09 -1.6803E-08
569 5.67 5.1355E-09 -1.6655E-08
570 5.68 2.3609E-09 -1.6906E-08
571 5.69 3.5582E-09 -1.7601E-08
572 5.7 4.6445E-09 -1.6342E-08
573 5.71 5.5777E-09 -1.6678E-08
574 5.72 2.9616E-09 -1.7462E-08
575 5.73 4.1142E-09 -1.6814E-08
576 5.74 5.1236E-09 -1.6593E-08
577 5.75 2.3329E-09 -1.6865E-08
578 5.76 3.5289E-09 -1.7647E-08
579 5.77 4.6213E-09 -1.6558E-08
580 5.78 1.7007E-09 -1.667E-08
581 5.79 2.9158E-09 -1.741E-08
582 5.8 4.0691E-09 -1.6762E-08
583 5.81 5.0967E-09 -1.6576E-08
584 5.82 2.2952E-09 -1.6849E-08
585 5.83 3.4921E-09 -1.7699E-08
586 5.84 4.5891E-09 -1.6605E-08
587 5.85 1.6559E-09 -1.6636E-08
588 5.86 2.8722E-09 -1.7389E-08
589 5.87 4.0436E-09 -1.6805E-08
590 5.88 5.067E-09 -1.6582E-08
591 5.89 2.2538E-09 -1.6854E-08
592 5.9 3.4505E-09 -1.7733E-08
593 5.91 4.551E-09 -1.6432E-08
594 5.92 5.4939E-09 -1.6657E-08
595 5.93 2.8379E-09 -1.7279E-08
596 5.94 4.0003E-09 -1.6844E-08
597 5.95 5.0293E-09 -1.6604E-08
598 5.96 2.2022E-09 -1.6818E-08
599 5.97 3.4015E-09 -1.7783E-08
600 5.98 4.5074E-09 -1.6466E-08
601 5.99 5.46E-09 -1.6719E-08
602 6 2.791E-09 -1.7284E-08
603 6.01 3.9548E-09 -1.6864E-08
