
VD= 5 to 10 in 0.01 step
VG= 5 to 10 in 1 step
NO. VD ID ISUB
 V A A
589 5.87 -1.1188E-08 1.5148E-08
590 5.88 -1.1871E-08 -2.3E-11
591 5.89 8.543E-09 -1.8558E-08
592 5.9 1.2595E-08 4.122E-09
593 5.91 -1.1378E-08 1.4982E-08
594 5.92 -1.1959E-08 -6.18E-10
595 5.93 8.617E-09 -1.8212E-08
596 5.94 1.2607E-08 4.494E-09
597 5.95 -1.1593E-08 1.5014E-08
598 5.96 -1.2678E-08 -8.264E-09
599 5.97 1.1586E-08 -2.07E-10
600 5.98 -9.275E-09 1.9093E-08
601 5.99 -1.2446E-08 -4.248E-09
602 6 1.0322E-08 -2.1498E-08
603 6.01 1.1253E-08 -9.43E-10
604 6.02 -9.192E-09 1.9588E-08
605 6.03 -1.2434E-08 -3.813E-09
606 6.04 1.0157E-08 -2.169E-08
607 6.05 1.13E-08 -1.771E-09
608 6.06 -8.871E-09 2.0021E-08
609 6.07 -1.2499E-08 -3.297E-09
610 6.08 9.839E-09 -2.213E-08
611 6.09 1.1309E-08 -1.9815E-08
612 6.1 1.2229E-08 2.527E-09
613 6.11 -1.0628E-08 1.6643E-08
614 6.12 -1.2161E-08 2.092E-09
615 6.13 7.866E-09 -1.9747E-08
616 6.14 1.2361E-08 2.9E-09
617 6.15 -1.0762E-08 1.6129E-08
618 6.16 -1.2057E-08 1.546E-09
